# 港澳台IPTV | 2026-08-19 01:51
# 频道: 114 | 全部端到端验证通过
# 验证方法: m3u8→ts分片→MPEG-TS 0x47同步字节校验

港台RTHK,#genre#
RTHK 31,https://www.rthk.hk/feeds/dtt/rthktv31_https.m3u8
RTHK 32,https://www.rthk.hk/feeds/dtt/rthktv32_https.m3u8
RTHK31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/master.m3u8

TVB翡翠台,#genre#
[BD]翡翠台[geo-blocked],https://stream1.freetv.fun/ba009d94229ed40a5d9289178463fba7aa31fb0622f8ab2d66c01147828743ab.m3u8
TVB无线新闻,https://stream1.freetv.fun/678d877ac436471c003e6f566eaa81b022de75dca45be60e1660efbf223765ca.m3u8

TVB明珠台,#genre#
[BD]明珠,https://stream1.freetv.fun/b49f11a7e68a76202daba76fb5c90eb8ef1c34d977c5e9eac0825112f74f87d3.ctv
杭州明珠,https://stream1.freetv.fun/hang-zhou-ming-zhu-2.ctv

ViuTV,#genre#
[BD]viutv,https://stream1.freetv.fun/acf28668e5790e2d2ac642051e52d00b0ea2372b79f0526617aa30a9af34b16b.ctv
[BD]Viutv *b,https://stream1.freetv.fun/f9680349a9abb624d2210ac1d8bcec0da482ef32c261d90845474ce89fa5f1ea.ctv
[BD]Viutv *ee[geo-blocked],https://stream1.freetv.fun/b5a76c27ebc1c319f7f069a1f275c700267fe7f78d2cc1d92d99f3d1c526538d.ctv
[BD]viutvsix,https://stream1.freetv.fun/df53d054294bb3499e8c5897908dd1e7a190e2505b2f45abd837a8bc405771fb.ctv
[BD]ViuTvsix *b,https://stream1.freetv.fun/2022de93c6175f00f9f45e21257f2a488e5631f779ee9a6780b403d77e2429b2.ctv
[BD]ViuTvsix *ee[geo-blocked],https://stream1.freetv.fun/e7f0d0390abcce0a34dd1fe04d37d4cc2078fe698f620a519b7868e8fd259dcd.ctv
[HD]Viutv *28[geo-blocked],https://stream1.freetv.fun/95ca85f125b45e09bdc758e528fd8cdb35b7e36984f706dd74cb2681c2857d16.ctv

HOY TV,#genre#
HOY TV,http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8

凤凰资讯台,#genre#
[BD]凤凰资讯[geo-blocked],https://stream1.freetv.fun/9cb86e77a2a19ece5a5ee90f18c9dd578dab4a8f3a0844fbd56b6a87db6746fb.ctv

凤凰其他频道,#genre#
凤凰香港,https://epg.pw/stream/5f16dc7fc8aaaed3205516c63e4a8c24bca9dbba1181684244729cf574505b0e.m3u8

凤凰卫视,#genre#
凤凰卫视,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0

TVBS（台湾）,#genre#
[BD]TVBS亚洲 *28,https://stream1.freetv.fun/1f5a105e1d310976a1fd6974db9451f8099e12c0df74fe2ad84087d5b6177f9a.m3u8
